Country;Lat;Long;Population
Vanuatu;-15.3767;166.9592;292680
Venezuela;6.4238;-66.5897;28435943
Vietnam;14.058324;108.277199;97338583
West Bank and Gaza;31.9522;35.2332;5101416
Western Sahara;24.2155;-12.8858;597330
Yemen;15.552727;48.516388;29825968
Zambia;-13.133897;27.849332;18383956
Zimbabwe;-19.015438;29.154857;14862927
Australia;-25;133;25459700
Australia;-35.4735;149.0124;428100
Australia;-33.8688;151.2093;8118000
Australia;-12.4634;130.8456;245600
Australia;-27.4698;153.0251;5115500
Australia;-34.9285;138.6007;1756500
Australia;-42.8821;147.3272;535500
Australia;-37.8136;144.9631;6629900
Australia;-31.9505;115.8605;2630600
Canada;60;-95;38246108
Canada;53.9333;-116.5765;4442879
Canada;53.7267;-127.6476;5214805
Canada;53.7609;-98.8139;1383765
Canada;46.5653;-66.4619;789225
Canada;53.1355;-57.6604;520553
Canada;64.8255;-124.8457;45504
Canada;44.682;-63.7443;992055
Canada;51.2538;-85.3232;14826276
Canada;46.5107;-63.4168;164318
Canada;52.9399;-73.5491;8604495
Canada;52.9399;-106.4509;1179844
Canada;64.2823;-135;42986
Canada;;;
Canada;;;
Canada;;;
Canada;70.2998;-83.1076;39403
China;35.8617;104.19545;1411778724
China;31.8257;117.2264;61027171
China;40.1824;116.4142;21893095
China;30.0572;107.874;32054159
China;26.0789;117.9874;41540086
China;35.7518;104.2861;25019831
China;23.3417;113.4244;126012510
China;23.8298;108.7881;50126804
China;26.8154;106.8748;38562148
China;19.1959;109.7453;10081232
China;37.8957;114.9042;74610235
China;47.862;127.7615;31850088
China;33.882;113.614;99365519
China;30.9756;112.2707;57752557
China;27.6104;111.7088;66444864
China;44.0935;113.9448;24049155
China;32.9711;119.455;84748016
China;27.614;115.7221;45188635
China;43.6661;126.1923;24073453
China;41.2956;122.6085;42591407
China;37.2692;106.1655;7202654
China;35.7452;95.9956;5923957
China;35.1917;108.8701;39528999
China;36.3427;118.1498;101527453
China;31.202;121.4491;24870895
China;37.5777;112.2922;34915616
China;30.6171;102.7103;83674866
China;39.3054;117.323;13866009
China;31.6927;88.0924;3648100
China;41.1129;85.2401;25852345
China;24.974;101.487;47209277
China;29.1832;120.0934;64567588
China;;;
China;22.3;114.2;7496988
China;22.1667;113.55;649342
US;40;-100;329466283
US;-14.271;-170.132;55641
US;13.4443;144.7937;164229
US;15.0979;145.6739;55144
US;18.3358;-64.8963;107268
US;18.2208;-66.5901;3193694
US;18.180117;-66.754367;17363
US;18.360255;-67.175131;36694
US;18.459681;-67.120815;50265
US;18.251619;-66.126806;24814
US;18.131361;-66.264131;22108
US;18.287985;-67.120611;26161
US;18.406631;-66.675077;81966
US;17.998457;-66.056546;17238
US;18.445533;-66.560531;23727
US;18.201592;-66.30963;27725
US;18.34946;-66.168435;169269
US;18.040993;-67.154391;47515
US;18.211615;-66.050779;124606
US;18.418578;-66.860206;30504
US;18.328802;-65.887612;44674
US;18.374986;-65.956831;146984
US;18.437269;-66.143306;23121
US;18.102851;-66.14914;42409
US;18.251818;-65.666416;10904
US;18.28885;-66.516475;15808
US;18.173559;-66.161179;38307
US;18.097597;-66.36014;38336
US;18.224687;-66.221622;18648
US;18.304264;-66.327738;32293
US;18.31586;-65.28813;1714
US;18.436115;-66.278669;36141
US;18.318373;-65.666866;29454
US;18.373715;-66.560488;11317
US;17.982429;-66.919643;15383
US;18.007516;-66.133908;39465
US;18.039942;-66.79186;17623
US;18.345114;-66.114523;83728
US;18.266461;-65.979705;47093
US;18.410928;-66.796326;39218
US;18.134532;-67.113972;15518
US;18.145211;-65.810174;50653
US;18.44981;-67.005093;40423
US;18.211446;-66.58878;13891
US;18.050764;-66.494581;44679
US;18.223793;-65.909109;38155
US;18.011661;-67.040585;22010
US;18.269035;-66.867236;24276
US;18.23679;-66.98362;7927
US;18.187527;-65.869468;37007
US;18.425688;-65.89943;24553
US;18.342114;-65.725097;17665
US;18.420473;-66.490461;37287
US;18.171795;-66.942126;5430
US;18.017889;-65.922235;10321
US;18.2013;-67.1452;71530
US;18.377805;-67.080952;34891
US;18.316963;-66.420383;30335
US;18.230637;-65.753897;25761
US;18.288019;-66.252703;27349
US;18.215046;-66.433604;20220
US;18.03174;-66.012242;16211
US;18.059645;-66.721572;19249
US;18.059498;-66.613748;131881
US;18.439692;-66.926113;22918
US;18.335443;-67.23174;13656
US;18.346329;-65.813742;48025
US;18.08282;-66.943758;21712
US;18.010387;-66.256592;27128
US;18.111484;-67.038581;30227
US;18.386933;-66.061128;318441
US;18.147987;-65.976392;35989
US;18.328646;-66.971214;35528
US;17.994525;-66.388913;21209
US;18.362406;-66.246616;72025
US;18.431446;-66.213553;74271
US;18.336159;-65.998884;63674
US;18.271214;-66.702984;27395
US;18.409346;-66.33725;36061
US;18.428262;-66.397924;50023
US;18.123276;-65.440971;8386
US;18.127951;-66.473115;21372
US;18.070399;-65.896289;32282
US;18.080374;-66.858814;33575
US;;;
US;;;
US;;;
US;;;
US;32.3182;-86.9023;4903185
US;61.3707;-152.4044;731545
US;33.7298;-111.4312;7278717
US;34.9697;-92.3731;3017804
US;36.1162;-119.6816;39512223
US;39.0598;-105.3111;5758736
US;41.5978;-72.7554;3565287
US;39.3185;-75.5071;973764
US;38.8974;-77.0268;705749
US;27.7663;-81.6868;21477737
US;33.0406;-83.6431;10617423
US;21.0943;-157.4983;1415872
US;44.2405;-114.4788;1787065
US;40.3495;-88.9861;12671821
US;39.8494;-86.2583;6732219
US;42.0115;-93.2105;3155070
US;38.5266;-96.7265;2913314
US;37.6681;-84.6701;4467673
US;31.1695;-91.8678;4648794
US;44.6939;-69.3819;1344212
US;39.0639;-76.8021;6045680
US;42.2302;-71.5301;6892503
US;43.3266;-84.5361;9986857
US;45.6945;-93.9002;5639632
US;32.7416;-89.6787;2976149
US;38.4561;-92.2884;6137428
US;46.9219;-110.4544;1068778
US;41.1254;-98.2681;1934408
US;38.3135;-117.0554;3080156
US;43.4525;-71.5639;1359711
US;40.2989;-74.521;8882190
US;34.8405;-106.2485;2096829
US;42.1657;-74.9481;19453561
US;35.6301;-79.8064;10488084
US;47.5289;-99.784;762062
US;40.3888;-82.7649;11689100
US;35.5653;-96.9289;3956971
US;44.572;-122.0709;4217737
US;40.5908;-77.2098;12801989
US;41.6809;-71.5118;1059361
US;33.8569;-80.945;5148714
US;44.2998;-99.4388;884659
US;35.7478;-86.6923;6829174
US;31.0545;-97.5635;28995881
US;40.15;-111.8624;3205958
US;44.0459;-72.7107;623989
US;37.7693;-78.17;8535519
US;47.4009;-121.4905;7614893
US;38.4912;-80.9545;1792147
US;44.2685;-89.6165;5822434
US;42.756;-107.3025;578759
US;;;
US;41.40674725;-70.68763497;28731
US;39.0997;-94.5786;488943
US;;;
US;;;
US;;;
US;;;
US;;;
US;;;
US;;;
US;;;
US;;;
US;;;
US;;;
US;41.52106798;-113.0832816;186818
US;39.37231946;-111.5758676;81954
US;38.99617072;-110.7013958;40229
US;37.85447192;-111.4418764;252042
US;40.12491499;-109.5174415;56622
US;41.27116049;-111.9145117;272337
US;;;
US;;;
US;;;
US;;;
US;;;
US;;;
US;;;
US;;;
US;;;
US;;;
US;;;
US;;;
US;;;
US;;;
US;;;
US;;;
US;;;
US;;;
US;;;
US;;;
US;;;
US;;;
US;;;
US;;;
US;;;
US;;;
US;;;
US;;;
US;;;
US;;;
US;;;
US;;;
US;;;
US;;;
US;;;
US;;;
US;;;
US;;;
US;;;
US;;;
US;;;
US;;;
US;;;
US;;;
US;;;
US;;;
US;;;
US;;;
US;;;
US;;;
US;;;
US;;;
US;;;
US;;;
US;;;
US;;;
US;;;
US;;;
US;;;
US;;;
US;;;
US;;;
US;;;
US;;;
US;;;
US;;;
US;;;
US;;;
US;;;
US;;;
US;;;
US;;;
US;;;
US;;;
US;;;
US;;;
US;;;
US;;;
US;;;
US;;;
US;;;
US;;;
US;;;
US;;;
US;;;
US;;;
US;;;
US;;;
US;;;
US;;;
US;;;
US;;;
US;;;
US;;;
US;;;
US;;;
US;;;
US;;;
US;;;
US;;;
US;;;
US;;;
US;;;
US;32.53952745;-86.64408227;55869
US;30.72774991;-87.72207058;223234
US;31.868263;-85.3871286;24686
US;32.99642064;-87.1251146;22394
US;33.98210918;-86.56790593;57826
US;32.10030533;-85.71265535;10101
US;31.75300095;-86.68057478;19448
US;33.77483727;-85.82630386;113605
US;32.91360079;-85.39072749;33254
US;34.17805983;-85.60638968;26196
US;32.85044126;-86.7173256;44428
US;32.02227341;-88.2656443;12589
US;31.68099859;-87.83548597;23622
US;33.26984193;-85.85836077;13235
US;33.67679204;-85.52005899;14910
US;31.39932826;-85.98901039;52342
US;34.69847452;-87.80168544;55241
US;31.43401703;-86.99320044;12067
US;32.93690146;-86.24847739;10663
US;31.2477854;-86.45050893;37049
US;31.72941803;-86.31593104;13772
US;34.13020303;-86.86888037;83768
US;31.43037123;-85.61095742;49172
US;32.32688101;-87.1086671;37196
US;34.45946862;-85.80782906;71513
US;32.59785413;-86.14415284;81209
US;31.1256789;-87.15918694;36633
US;34.04567266;-86.04051873;102268
US;33.72076938;-87.73886638;16302
US;34.44235334;-87.84289505;31362
US;31.09389027;-85.83572839;26271
US;32.85504247;-87.95684022;8111
US;32.76039258;-87.63284988;14651
US;31.51148016;-85.24267944;17205
US;31.15197924;-85.29939599;105882
US;34.78144169;-85.99750489;51626
US;33.55554728;-86.895063;658573
US;33.77995024;-88.09668032;13805
US;34.90171875;-87.65624729;92729
US;34.52041498;-87.31069453;32924
US;32.60154883;-85.35132246;164542
US;34.81185586;-86.98310072;98915
US;32.1597283;-86.65158371;9726
US;32.38759944;-85.69267724;18068
US;34.76327133;-86.55069633;372909
US;32.24767634;-87.78796182;18863
US;34.13697363;-87.88704173;29709
US;34.36975964;-86.30486727;96774
US;30.78472347;-88.20842409;413210
US;31.56729412;-87.36995001;20733
US;32.2206831;-86.20969272;226486
US;34.45500589;-86.85475946;119679
US;32.64048341;-87.29770589;8923
US;33.28094866;-88.08818103;19930
US;31.80396383;-85.9408295;33114
US;33.29526734;-85.45708831;22722
US;32.28725256;-85.18415324;57961
US;33.71902176;-86.31029372;89512
US;33.26879845;-86.66232561;217702
US;32.59117397;-88.19916205;12427
US;33.37823223;-86.16886178;79978
US;32.86698258;-85.79833053;40367
US;33.28726072;-87.52556818;209355
US;33.80270512;-87.30027177;63521
US;31.4092794;-88.20689944;16326
US;31.98773215;-87.30891118;10373
US;34.15030532;-87.37325922;23629
US;55.32222414;-161.9722021;3337
US;52.3233;-174.1596;5634
US;61.14998174;-149.1426986;288000
US;60.90980451;-159.8561831;18386
US;58.74513976;-156.701064;836
US;60.3886;-162.8905196;2699
US;61.16666;-149.9;6751
US;63.67264044;-150.0076108;2097
US;59.79603738;-158.2381942;4916
US;64.80726247;-146.5692662;96849
US;59.09893571;-135.4679843;2530
US;58.29307365;-135.6424424;2148
US;58.45031811;-134.200436;31974
US;60.24429722;-151.5388884;58708
US;55.57445008;-130.975561;13901
US;57.65529415;-153.7493579;12998
US;62.1542916;-163.3967883;8314
US;58.62403337;-156.2140589;2428
US;62.31305045;-149.5741743;108317
US;64.90320724;-164.0353804;10004
US;69.31479216;-153.4836093;9832
US;67.04919196;-159.7503946;7621
US;57.13978948;-132.9540995;3266
US;55.76261984;-133.0511621;6203
US;57.24124555;-135.3206587;8493
US;59.56149996;-135.3337748;1183
US;63.87692095;-143.2127643;6893
US;61.47502768;-144.7126799;9202
US;56.3202004;-132.0583731;2502
US;59.8909808;-140.3601451;2727
US;65.50815459;-151.3907387;5230
US;35.39465006;-109.4892383;71887
US;31.87934684;-109.7516088;125922
US;35.83883429;-111.7707178;143476
US;33.80190085;-110.8132779;54018
US;32.93166885;-109.8882178;38837
US;33.21498827;-109.2405279;9498
US;33.72854224;-113.9810029;21108
US;33.34835867;-112.4918154;4485414
US;35.70471703;-113.7577902;212181
US;35.3997715;-110.3218983;110924
US;32.0971334;-111.7890033;1047279
US;32.90525627;-111.3449483;462789
US;31.52508998;-110.8479088;46498
US;34.59933926;-112.5538588;235099
US;32.76895712;-113.9066674;213787
US;34.29145151;-91.37277296;17486
US;33.19153461;-91.7698471;19657
US;36.28784385;-92.33782872;41932
US;36.33644656;-94.25680817;279141
US;36.3084504;-93.09374925;37432
US;33.46755808;-92.15980837;10763
US;33.55598792;-92.49974403;5189
US;36.3403856;-93.54270261;28380
US;33.26458973;-91.29539209;10118
US;34.04613432;-93.17484713;22320
US;36.36826212;-90.4148172;14551
US;35.53864922;-92.02640019;24919
US;33.89723187;-92.18537045;7956
US;33.21230701;-93.22642793;23457
US;35.26205537;-92.70506566;20846
US;35.83018283;-90.63235729;110332
US;35.58928601;-94.2446814;63257
US;35.21247318;-90.30839406;47955
US;35.29631396;-90.77185818;16419
US;33.97042763;-92.65167437;7009
US;33.83011025;-91.25500948;11361
US;33.59035001;-91.71777921;18219
US;35.14719007;-92.33717519;126007
US;35.51202821;-93.89299569;17715
US;36.38177105;-91.81729127;12477
US;34.57692074;-93.14921604;99386
US;34.29017991;-92.42320562;18265
US;36.1173546;-90.55832668;45325
US;33.73325583;-93.66935133;21532
US;34.31709259;-92.95396325;33771
US;34.09007427;-93.9934871;13202
US;35.74242707;-91.57001641;37825
US;36.09604046;-91.90847954;13629
US;35.59802983;-91.21494602;16719
US;34.26767081;-91.92619839;66824
US;35.56759135;-93.46036368;26578
US;33.24116713;-93.60677071;6624
US;36.04188196;-91.10867198;16406
US;34.78498904;-90.78383866;8857
US;33.95317155;-91.74002806;13024
US;33.70375665;-94.23468591;12259
US;35.21413234;-93.71951016;21466
US;34.75392199;-91.88742357;73309
US;36.01038185;-93.72524943;16576
US;36.26844485;-92.68451899;16694
US;33.31403423;-93.89285258;43257
US;35.76271485;-90.0519437;40651
US;34.6815935;-91.20540287;6701
US;34.53704874;-93.65824478;8986
US;33.66340119;-93.30632432;8252
US;35.91947491;-93.21612969;7753
US;33.58839816;-92.87795984;23382
US;34.9459153;-92.94372564;10455
US;34.43268455;-90.84800154;17782
US;34.16250414;-93.65789349;10718
US;35.57433534;-90.66268713;23528
US;34.48254879;-94.22728802;19964
US;35.44871474;-93.03212219;64072
US;34.83624419;-91.55162157;8062
US;34.77054088;-92.31355101;391911
US;36.3415714;-91.02455531;17958
US;35.02201976;-90.74828138;24994
US;34.64916145;-92.67583224;122437
US;34.85588887;-94.0632176;10281
US;35.9109364;-92.69936482;7881
US;35.19605503;-94.27162713;127827
US;33.99780401;-94.2424869;17007
US;36.16258158;-91.47819342;17442
US;35.86251946;-92.15684085;12506
US;33.16887091;-92.59746952;38682
US;35.58095779;-92.51295036;16545
US;35.976844;-94.21800746;239187
US;35.25688493;-91.74908296;78753
US;35.18902527;-91.2439489;6320
US;35.00292371;-93.41171338;21341
US;37.64629437;-121.8929271;1671329
US;38.59678594;-119.8223594;1129
US;38.44583082;-120.65696;39752
US;39.66727762;-121.6005252;219186
US;38.20537103;-120.552913;45905
US;39.17881957;-122.2331726;21547
US;37.91923498;-121.9289527;1153526
US;41.74228275;-123.8974063;27812
US;38.77965956;-120.5233166;192843
US;36.75733899;-119.6466953;999101
US;39.59875897;-122.3938452;28393
US;40.69923009;-123.876044;135558
US;33.0393082;-115.3669042;181215
US;36.51112084;-117.4111978;18039
US;35.34329425;-118.7277796;900202
US;36.07409056;-119.8159973;152940
US;39.10124298;-122.7536244;64386
US;40.67311306;-120.5935099;30573
US;34.30828379;-118.2282411;10039107
US;37.21513971;-119.7665589;157327
US;38.07122463;-122.7210631;258826
US;37.57978556;-119.9073334;17203
US;39.4381191;-123.3911313;86749
US;37.18922369;-120.7209035;277680
US;41.58965602;-120.7244817;8841
US;37.93899289;-118.8872409;14444
US;36.21862405;-121.2413397;434061
US;38.50735751;-122.332839;137744
US;39.30394768;-120.7627281;99755
US;33.70147516;-117.7645998;3175692
US;39.06167234;-120.7240569;398329
US;40.00355989;-120.8395236;18807
US;33.74314981;-115.9933578;2470546
US;38.45106826;-121.3425374;1552058
US;36.60308176;-121.069975;62808
US;34.84060306;-116.1774685;2180085
US;33.03484597;-116.7365326;3338330
US;37.75215114;-122.4385672;881549
US;37.93433732;-121.2730061;762148
US;35.38822029;-120.4039028;283111
US;37.4228808;-122.3275546;766573
US;34.65329488;-120.0188492;446499
US;37.23104908;-121.6970462;1927852
US;37.05580291;-122.0066524;273213
US;40.76391419;-122.0396884;180080
US;39.57713498;-120.5200701;3005
US;41.59198861;-122.5407434;43539
US;38.26827353;-121.9357113;447643
US;38.52746429;-122.8862506;494336
US;37.55862499;-120.9970722;550660
US;39.03417539;-121.6945899;96971
US;40.12570935;-122.2370171;65084
US;40.6491767;-123.114713;12285
US;36.22026558;-118.8020203;466195
US;38.02644018;-119.9525093;54478
US;34.44465746;-119.0910613;846006
US;38.68278902;-121.9018288;220500
US;39.26255932;-121.3535644;78668
US;39.87432092;-104.3362578;517421
US;37.57250606;-105.7885451;16233
US;39.64977461;-104.3353617;656590
US;37.19474156;-107.0476867;14029
US;37.31940883;-102.5603223;3581
US;37.95474293;-103.0720195;5577
US;40.09313619;-105.3546767;326196
US;39.95998787;-105.0566324;70465
US;38.74745778;-106.1926573;20356
US;38.82777431;-102.6032558;1831
US;39.68864463;-105.6463118;9700
US;37.201606;-106.1917488;8205
US;37.27732493;-105.4276548;3887
US;38.32608609;-103.7844965;6061
US;38.10883162;-105.3683478;5068
US;38.86246243;-107.8631342;31162
US;39.76018276;-104.8725695;727211
US;37.75208676;-108.5211585;2055
US;39.33133796;-104.930001;351154
US;39.62754308;-106.6933637;55127
US;39.28656773;-104.1358721;26729
US;38.83240149;-104.5251411;720403
US;38.47362326;-105.4399667;47839
US;39.59921777;-107.902708;60061
US;39.85646523;-105.5252597;6243
US;40.10603347;-106.1178042;15734
US;38.66611652;-107.0320729;17462
US;37.82247444;-107.3004345;820
US;37.68473101;-104.9612585;6897
US;40.6659387;-106.3408905;1392
US;39.58635604;-105.2517692;582881
US;38.43260896;-102.7392145;1406
US;39.30497777;-102.6022199;7097
US;39.20278823;-106.3555697;8127
US;37.28632032;-107.8429014;56221
US;40.66671597;-105.4625784;356899
US;37.3153406;-104.0376458;14506
US;38.98749519;-103.5136649;5701
US;40.7249637;-103.110817;22409
US;39.01787888;-108.469799;154210
US;37.66954283;-106.9281698;769
US;40.61810999;-108.2070876;13283
US;37.33859579;-108.5958857;26183
US;38.40214114;-108.2639022;42758
US;40.2627981;-103.8093302;29068
US;37.9014485;-103.7173385;18278
US;38.14717457;-107.7675136;4952
US;39.120926;-105.7182065;18845
US;40.59414277;-102.3577703;4265
US;39.21720112;-106.9310027;17767
US;37.95544985;-102.3926052;12172
US;38.17359144;-104.5127437;168424
US;39.97913541;-108.2179009;6324
US;37.5836865;-106.3847838;11267
US;40.48596505;-106.9905548;25638
US;38.08054629;-106.282466;6824
US;37.76248981;-107.6763289;728
US;38.00450883;-108.4020725;8179
US;40.87595412;-102.3519227;2248
US;39.63803232;-106.1150762;31011
US;38.88133511;-105.1614893;25388
US;39.97015535;-103.202587;4908
US;40.55499405;-104.3929621;324492
US;40.00346839;-102.4258673;10019
US;41.26809896;-73.3881171;943332
US;41.80283011;-72.73103891;891720
US;41.7937534;-73.2451475;180333
US;41.45949668;-72.53714864;162436
US;41.4080325;-72.93620426;854757
US;41.48896435;-72.10430976;265206
US;41.85853803;-72.3308481;150721
US;41.82972709;-71.98182316;116782
US;39.08646628;-75.56884914;180786
US;39.57992638;-75.64054974;558753
US;38.66143781;-75.39031349;234225
US;38.90417773;-77.01655992;705749
US;29.67866525;-82.35928158;269043
US;30.33060121;-82.28467476;29210
US;30.26548745;-85.62122584;174705
US;29.95079741;-82.16611613;28201
US;28.29409504;-80.73091022;601942
US;26.15184651;-80.48725556;1952778
US;30.40666734;-85.19394153;14105
US;26.90131002;-81.92949121;188910
US;28.84804315;-82.47614748;149657
US;29.98319144;-81.85609986;219252
US;26.11091986;-81.34687065;384902
US;30.22509788;-82.62160164;71686
US;27.18677893;-81.80941373;38001
US;29.60631086;-83.15724673;16826
US;30.33225875;-81.66976468;957755
US;30.67652764;-87.37284571;318316
US;29.45933576;-81.31508595;115081
US;29.83791238;-84.82731662;12125
US;30.57796289;-84.61915825;45660
US;29.72856978;-82.79880657;18582
US;26.95635849;-81.18996211;13811
US;29.93543004;-85.2427099;13639
US;30.49673973;-82.94998918;14428
US;27.49293939;-81.80956574;26937
US;26.55386945;-81.16469006;42022
US;28.55364461;-82.42700204;193920
US;27.34254618;-81.34071957;106221
US;27.9276559;-82.32013172;1471968
US;30.86747479;-85.81319222;19617
US;27.69308961;-80.60556721;159923
US;30.7954597;-85.21500423;46414
US;30.43669112;-83.89442308;14246
US;29.98484137;-83.18166636;8422
US;28.76202069;-81.7125123;367118
US;26.58410348;-81.88399313;770577
US;30.45955727;-84.27491114;293582
US;29.31829741;-82.74007147;41503
US;30.23766008;-84.8829258;8354
US;30.44396917;-83.47398594;18493
US;27.47196942;-82.31831044;403253
US;29.21227113;-82.05803627;365579
US;27.0772071;-80.43109784;161000
US;25.6112362;-80.55170587;2716940
US;25.20904673;-81.07812416;74228
US;30.61037141;-81.80297522;88625
US;30.69143028;-86.59267105;210738
US;27.3863362;-80.88944347;42168
US;28.51367621;-81.31799498;1393452
US;28.06312234;-81.14882926;375751
US;26.64676272;-80.46536002;1496770
US;28.30810945;-82.40227529;553947
US;27.93130349;-82.72239666;974996
US;27.95027105;-81.69732947;724777
US;29.60779729;-81.74230285;74521
US;29.90096506;-81.43589967;264672
US;27.37763908;-80.47106649;328297
US;30.6934145;-87.02458128;184313
US;27.18546175;-82.33174248;433742
US;28.7158582;-81.24060348;471826
US;28.70181754;-82.0794267;132420
US;30.19746066;-82.9909967;44417
US;30.04848048;-83.60445406;21569
US;30.04412971;-82.37497443;15237
US;29.05858895;-81.18263252;553284
US;30.16548905;-84.39895211;33739
US;30.64204028;-86.16935664;74071
US;30.61359259;-85.66002461;25473
US;31.74847232;-82.28909114;18386
US;31.29633502;-82.87545866;8165
US;31.55456473;-82.45936528;11164
US;31.32669878;-84.44218806;3038
US;33.06882326;-83.24701748;44890
US;34.35607081;-83.49644388;19234
US;33.99148694;-83.71436292;83240
US;34.23732119;-84.83887523;107738
US;31.76095874;-83.22145359;16700
US;31.27590016;-83.2252992;19397
US;32.80904227;-83.70489165;153159
US;32.43829035;-83.33035166;12873
US;31.19576557;-81.97743999;19109
US;30.83922642;-83.58303423;15457
US;32.00979311;-81.44002948;39627
US;32.39577406;-81.74811421;79608
US;33.05917989;-81.99928721;22383
US;33.2830945;-83.9543504;24936
US;31.53169785;-84.62725131;6189
US;30.92951916;-81.66601818;54666
US;32.40209349;-82.07702563;10803
US;33.58138199;-85.07976677;119992
US;34.89872298;-85.13757014;67580
US;30.78371028;-82.13951596;13392
US;32.00043026;-81.12489526;289430
US;32.34341231;-84.78809239;10907
US;34.47197698;-85.34535662;24789
US;34.24393976;-84.47431861;258773
US;33.95436462;-83.37124007;128331
US;31.62221166;-84.97713865;2834
US;33.54187245;-84.35594188;292256
US;30.91395822;-82.70432472;6618
US;33.94243204;-84.5761255;760141
US;31.54892966;-82.8549206;43273
US;31.18810588;-83.7677946;45600
US;33.54534185;-82.263524;156714
US;31.16068491;-83.42947229;17270
US;33.35334302;-84.76129976;148509
US;32.71391813;-83.98061238;12404
US;31.92289565;-83.76811843;22372
US;34.8549167;-85.50490424;16116
US;34.44244079;-84.16964071;26108
US;30.87967778;-84.57619536;26404
US;33.76944049;-84.22396017;759297
US;32.17265114;-83.16948926;20605
US;32.15630737;-83.79746561;13390
US;31.53328528;-84.21722377;87956
US;33.70291126;-84.77026156;146343
US;31.32155345;-84.90255207;10190
US;30.71101099;-82.89687287;4006
US;32.36616021;-81.34280942;64296
US;34.11302332;-82.83936148;19194
US;32.59221302;-82.30239915;22646
US;32.15328841;-81.8870105;10654
US;34.86430205;-84.316964;26188
US;33.41357794;-84.49089434;114421
US;34.26268279;-85.21577392;98498
US;34.22604035;-84.1231513;244252
US;34.37525597;-83.23159927;23349
US;33.79216944;-84.46319413;1063937
US;34.69316688;-84.45802506;31369
US;33.22879932;-82.61297636;2971
US;31.23279254;-81.53811412;85292
US;34.50487351;-84.87296253;57963
US;30.87454847;-84.23418364;24633
US;33.5769205;-83.17139104;18324
US;33.96044201;-84.02137802;936250
US;34.63331566;-83.53094677;45328
US;34.32207823;-83.81896936;204441
US;33.2721566;-82.99766919;8457
US;33.79602175;-85.21005667;29792
US;32.73709786;-84.90538572;35236
US;34.34626973;-82.96567682;26205
US;33.29686567;-85.12886832;11923
US;33.4533428;-84.1481466;234561
US;32.45802497;-83.66879087;157863
US;31.60213036;-83.27501387;9416
US;34.13794553;-83.56814788;72977
US;33.31535543;-83.68844964;14219
US;31.80405727;-82.6372487;15115
US;33.05867328;-82.41609057;15362
US;32.79248718;-81.96040187;8676
US;32.70211082;-82.66166794;9643
US;33.02512137;-83.56019163;28735
US;33.07841647;-84.14263877;19077
US;31.0382857;-83.06472457;10423
US;32.46325233;-82.92221316;47546
US;31.7793306;-84.14324253;29992
US;31.82588896;-81.49251135;61435
US;33.79201475;-82.45024131;7921
US;31.75218791;-81.74952375;19559
US;30.83568832;-83.27056716;117406
US;34.57286511;-84.00425681;33610
US;33.47851918;-82.48252774;21312
US;31.49683595;-81.40163426;14378
US;32.35207048;-84.04234127;12947
US;34.12920917;-83.21218732;29880
US;32.3483402;-84.52733571;8359
US;33.04163534;-84.68859732;21167
US;31.16568912;-84.73151117;5718
US;31.22483255;-84.19381821;21863
US;33.014289;-83.92097166;27578
US;32.17201038;-82.53527476;9172
US;33.59232073;-83.49129491;19276
US;34.78897608;-84.74993177;40096
US;32.50931999;-84.87142262;195769
US;33.55514538;-83.8454714;111744
US;33.83749973;-83.43679568;40280
US;33.8786296;-83.08278123;15259
US;33.91969522;-84.86848792;168667
US;32.56934316;-83.82937;27546
US;34.46589159;-84.46406611;32591
US;31.35928155;-82.21598442;19465
US;33.09310242;-84.38790389;18962
US;34.00267074;-85.18677781;42613
US;32.23334561;-83.4754996;11137
US;33.32056115;-83.37552891;22119
US;31.86728114;-85.01773177;2299
US;34.88389445;-83.40304637;17137
US;31.76622818;-84.75732369;6778
US;33.35777107;-82.07026432;202518
US;33.65145002;-84.02202167;90896
US;32.2654021;-84.31258912;5257
US;32.74976524;-81.60779441;13966
US;30.93464824;-84.86823924;8090
US;33.26310031;-84.28013991;66703
US;34.55151201;-83.29405315;25925
US;32.07996777;-84.83208037;6621
US;32.03650571;-84.19821492;29524
US;32.69642758;-84.53351366;6195
US;33.56543317;-82.88136816;1537
US;32.04785085;-82.05539188;25286
US;32.55792548;-84.25077141;8020
US;31.92829517;-82.93491155;15860
US;31.77527543;-84.44069698;8531
US;30.86392347;-83.91847289;44451
US;31.45743864;-83.5236119;40644
US;32.12059861;-82.32957247;26830
US;34.91369188;-83.7410746;12037
US;32.40422134;-82.56904553;6901
US;33.03349196;-85.02812115;69922
US;31.71612656;-83.62069378;7985
US;32.67435595;-83.43078662;8120
US;34.82995757;-83.98967069;24511
US;32.87920671;-84.30024826;26320
US;34.73376362;-85.30165174;69761
US;33.78017694;-83.73552314;94593
US;31.05449097;-82.42224148;35734
US;33.41146451;-82.67795848;5254
US;32.96711864;-82.79357039;20374
US;31.5521809;-81.91894878;29927
US;32.04066113;-84.54742852;2607
US;32.12009104;-82.72574721;7855
US;34.64624278;-83.74905525;30798
US;34.80987459;-84.96093476;104628
US;31.97496928;-83.43438555;8635
US;33.78290391;-82.74286107;9777
US;32.80291082;-83.17140684;8954
US;31.55162306;-83.85090513;20247
US;19.60121157;-155.5210167;201513
US;21.45803166;-157.9712182;974563
US;21.17882515;-156.9583592;86
US;22.03935037;-159.5966786;72293
